SEA$March$2004$77$14$1611$8783$7088$Seattle, WA: Seattle/Tacoma International
SFO$March$2004$117$12$1652$11013$9228$San Francisco, CA: San Francisco International
SLC$March$2004$79$12$1240$11546$10224$Salt Lake City, UT: Salt Lake City International
TPA$March$2004$10$11$947$6250$5291$Tampa, FL: Tampa International
ATL$April$2004$264$11$5704$34026$28029$Atlanta, GA: Hartsfield-Jackson Atlanta International
BOS$April$2004$106$16$1704$10815$9002$Boston, MA: Logan International
BWI$April$2004$20$12$1448$8690$7218$Baltimore, MD: Baltimore/Washington International Thurgood Marshall
CLT$April$2004$42$11$1105$8853$7699$Charlotte, NC: Charlotte Douglas International
DCA$April$2004$62$15$1013$7691$6609$Washington, DC: Ronald Reagan Washington National
DEN$April$2004$74$14$1435$12526$10998$Denver, CO: Denver International
DFW$April$2004$249$14$3096$28593$25220$Dallas/Fort Worth, TX: Dallas/Fort Worth International
DTW$April$2004$117$13$1637$12394$10632$Detroit, MI: Detroit Metro Wayne County
EWR$April$2004$142$14$3463$13223$9604$Newark, NJ: Newark Liberty International
FLL$April$2004$6$13$1330$5907$4561$Fort Lauderdale, FL: Fort Lauderdale-Hollywood International
IAD$April$2004$68$15$1339$8734$7316$Washington, DC: Washington Dulles International
IAH$April$2004$92$13$2807$16666$13712$Houston, TX: George Bush Intercontinental/Houston
JFK$April$2004$29$12$1513$7244$5683$New York, NY: John F. Kennedy International
LAS$April$2004$63$14$2335$12880$10471$Las Vegas, NV: McCarran International
LAX$April$2004$113$14$2460$18953$16362$Los Angeles, CA: Los Angeles International
LGA$April$2004$174$12$2277$10696$8222$New York, NY: LaGuardia
MCO$April$2004$7$15$1664$8953$7272$Orlando, FL: Orlando International
MDW$April$2004$34$11$1150$7588$6402$Chicago, IL: Chicago Midway International
MIA$April$2004$11$13$868$5534$4639$Miami, FL: Miami International
MSP$April$2004$128$13$1574$12103$10359$Minneapolis, MN: Minneapolis-St Paul International
ORD$April$2004$456$14$7690$32091$23928$Chicago, IL: Chicago O'Hare International
PDX$April$2004$45$10$587$4612$3978$Portland, OR: Portland International
PHL$April$2004$65$13$1935$9049$7037$Philadelphia, PA: Philadelphia International
PHX$April$2004$150$15$1991$14118$11957$Phoenix, AZ: Phoenix Sky Harbor International
SAN$April$2004$40$13$1019$6957$5870$San Diego, CA: San Diego International
SEA$April$2004$48$14$1187$8653$7402$Seattle, WA: Seattle/Tacoma International
SFO$April$2004$73$12$1496$10757$9183$San Francisco, CA: San Francisco International
SLC$April$2004$79$12$1527$11072$9463$Salt Lake City, UT: Salt Lake City International
TPA$April$2004$4$11$958$5865$4900$Tampa, FL: Tampa International
ATL$May$2004$457$11$8802$34896$25565$Atlanta, GA: Hartsfield-Jackson Atlanta International
BOS$May$2004$225$16$2489$10985$8262$Boston, MA: Logan International
BWI$May$2004$49$12$2037$8902$6779$Baltimore, MD: Baltimore/Washington International Thurgood Marshall
CLT$May$2004$80$11$1291$8857$7479$Charlotte, NC: Charlotte Douglas International
DCA$May$2004$138$15$1476$7615$5976$Washington, DC: Ronald Reagan Washington National
DEN$May$2004$106$14$2012$12820$10653$Denver, CO: Denver International
DFW$May$2004$490$14$3820$29467$25044$Dallas/Fort Worth, TX: Dallas/Fort Worth International
